Area_en,Area_ar,Latitude,Longitude
Sohag El Gedida,سوهاج الجديدة,,
Akhmeem,أخميم,,
Akhmim El Gedida,أخميم الجديدة,,
Albalina,البلينا,,
El Maragha,المراغة,26.7,31.6
almunsha'a,المنشأة,,
Dar AISalaam,دار السلام,,
Gerga,جرجا,26.3364072,31.889107
Jahina Al Gharbia,جهينة الغربية,,
Saqilatuh,ساقلته,,
Tama,طما,26.894992,31.43909796921446
Tahta,طهطا,26.7676025,31.4955936
Alkawthar,الكوثر,,
